Gene name	Sheep gene name
Igkv9-123	
Zfp711	ZNF711
Abhd15	ABHD15
4933417A18Rik	C6orf201
Ifna13	ENSOARG00000010517
Ifna13	ENSOARG00000008754
Ifna13	ENSOARG00000014373
Trp53i13	TP53I13
Cend1	
Olfr993	OR5AK2
BC055324	C1orf112
Eci3	ECI2
Stoml1	STOML1
Nr3c1	NR3C1
Slc35f6	SLC35F6
Ugt1a7c	
Csnk2a1	CSNK2A3
Stk32c	STK32C
Clec4a1	CLEC4A
Gm21985	SLC12A6
Ubqln4	UBQLN4
Prss42	PRSS42
Coq8a	COQ8A
Atxn2l	ATXN2L
Olfr994	OR5AK2
Lrrc27	LRRC27
Olfr634-ps1	OR51J1
Chpf2	CHPF2
Olfr1431	ENSOARG00000013185
Olfr1431	ENSOARG00000013066
Ugt1a5	
Igkv17-121	
Gga2	GGA2
Ifna16	ENSOARG00000010517
Ifna16	ENSOARG00000008754
Ifna16	ENSOARG00000014373
Igkv9-120	
Olfr635	OR51Q1
Smarcd3	SMARCD3
Ptcd1	ENSOARG00000018676
Max	MAX
Ap3b2	ENSOARG00000001729
Ap3b2	ENSOARG00000013684
Arv1	ARV1
Ugt1a6a	
Rnf223	
Bloc1s4	BLOC1S4
Bud31	ENSOARG00000016521
Bud31	ENSOARG00000016519
Ugt1a9	
Sp2	SP2
Tmem59l	TMEM59L
Szrd1	SZRD1
Adcy7	ADCY7
Ugt1a10	
Ccdc62	CCDC62
Rrbp1	ENSOARG00000017736
Insl3	INSL3
Ifnab	ENSOARG00000010517
Ifnab	ENSOARG00000008754
Ifnab	ENSOARG00000014373
Dmtf1	DMTF1
Panx1	PANX1
Jak3	JAK3
Olfr995	OR5AK2
Gm43518	CCDC62
Cdk5rap3	CDK5RAP3
Ugt1a8	
Denr	DENR
Sebox	SEBOX
Cd300lg	CD300LG
Ugt1a2	
Pof1b	POF1B
Ipo8	IPO8
Prss45	ENSOARG00000007207
Ugt1a1	UGT1A1
Aspm	ASPM
Cdc42bpa	CDC42BPA
Kdm4c	KDM4C
Hells	HELLS
Fam89a	ENSOARG00000017785
Prss46	ENSOARG00000007290
Ugt1a6b	
Reps2	REPS2
Prss50	ENSOARG00000007381
Cxcr3	CXCR3
2810004N23Rik	C1orf131
Gm4779	ENSOARG00000017575
Cryzl1	CRYZL1
Trim67	TRIM67
Lpin2	LPIN2
Lhfpl2	LHFPL2
Commd9	COMMD9
Cmtm4	ENSOARG00000002082
Prr15l	PRR15L
Mras	MRAS
Als2cl	ALS2CL
Gtf2a2	GTF2A2
Gnpat	GNPAT
Pnpo	PNPO
Klhl9	
Clec4a3	CLEC4A
Crlf1	CRLF1
Camk2a	CAMK2A
Tpp1	TPP1
Nme9	NME9
Purg	PURG
8030474K03Rik	ENSOARG00000017575
Suv39h1	SUV39H1
Rabif	ENSOARG00000004346
Ddx19a	
Clec4a4	CLEC4A
Tmem199	TMEM199
Ankrd13d	ANKRD13D
Cplx1	CPLX1
2900026A02Rik	KIAA1671
Lingo1	LINGO1
Agrn	ENSOARG00000002032
Agrn	ENSOARG00000007039
Tmie	TMIE
Hephl1	HEPHL1
Adamdec1	ADAMDEC1
Slc51b	SLC51B
Nhsl2	NHSL2
Rasl12	RASL12
Pctp	ENSOARG00000005818
Pctp	ENSOARG00000005660
Pctp	ENSOARG00000005965
Pctp	ENSOARG00000005913
Cdc37	CDC37
Tatdn3	TATDN3
Clec4b1	CLEC4A
Cpsf4	CPSF4
Rgag4	RTL5
Rab27a	RAB27A
Man2b2	ENSOARG00000005524
Man2b2	ENSOARG00000010586
Man2b2	ENSOARG00000005253
Man2b2	ENSOARG00000011020
Man2b2	ENSOARG00000010677
Man2b2	ENSOARG00000000988
Man2b2	ENSOARG00000010776
Fam174a	ENSOARG00000018255
Llgl2	LLGL2
Olfr641	OR51I2
Npnt	NPNT
Naaladl1	NAALADL1
Tex15	TEX15
Slc6a17	SLC6A17
Olfr646	OR52D1
Fbxo42	FBXO42
Tagln3	TAGLN3
Olfr638	OR51Q1
Olfr640	OR51I1
Ldlrad3	LDLRAD3
Itga7	ITGA7
Kncn	KNCN
Atp8b4	ATP8B4
Spata31d1c	ENSOARG00000012277
Cd2	CD2
Ddx3x	
Atp5j2	ENSOARG00000005447
Atp5j2	ENSOARG00000018577
Atp5j2	ENSOARG00000005134
Tnrc6c	TNRC6C
Tmem100	TMEM100
Pwwp2b	ENSOARG00000016481
Zkscan14	ENSOARG00000018542
6430628N08Rik	
2810428I15Rik	C19orf60
Cobll1	COBLL1
Mettl7b	METTL7B
Mbnl3	MBNL3
Nuf2	NUF2
Banf2	BANF2
Zkscan5	ENSOARG00000018538
Cenpa	CENPA
Tmem54	TMEM54
Zfp827	ZNF827
Gcnt3	GCNT3
Gm45716	
Mmd	ENSOARG00000005452
Mmd	ENSOARG00000005449
Slc25a22	SLC25A22
Fam240a	FAM240A
Rap1gap	RAP1GAP
Tdgf1	TDGF1
Armc8	ARMC8
Slc34a2	SLC34A2
Arl6ip1	ARL6IP1
Hpca	HPCA
Loxl1	LOXL1
Zfp655	ZNF655
Neb	NEB
Abhd10	ABHD10
Zc3h7a	ZC3H7A
Xylt2	XYLT2
Tmem243	TMEM243
Lrrc2	LRRC2
Sh3rf2	SH3RF2
Pycr2	ENSOARG00000017774
Zscan25	ZSCAN25
Cyp3a57	CYP3A24
Cyp3a57	ENSOARG00000018457
Cyp3a57	ENSOARG00000018068
Olfr262	ENSOARG00000013185
Olfr262	ENSOARG00000013066
Dync1li2	DYNC1LI2
Dmbx1	DMBX1
Kdm5b	KDM5B
Gabrg3	GABRG3
Snx15	SNX15
Olfr235	ENSOARG00000013185
Olfr235	ENSOARG00000013066
Zcchc10	ZCCHC10
Hip1r	HIP1R
Rtp3	RTP3
Mpp2	MPP2
Sox4	ENSOARG00000009518
Vps26a	VPS26A
Pnpla6	PNPLA6
Gak	GAK
Cyp3a16	CYP3A24
Cyp3a16	ENSOARG00000018457
Cyp3a16	ENSOARG00000018068
Mcam	MCAM
Insig2	INSIG2
Ddx6	DDX6
Dixdc1	DIXDC1
Cyp3a41b	CYP3A24
Cyp3a41b	ENSOARG00000018457
Cyp3a41b	ENSOARG00000018068
Amtn	AMTN
Odf3l1	ODF3L1
Vps37b	VPS37B
Ltf	LTF
Caprin2	CAPRIN2
1700011L22Rik	ENSOARG00000008671
Vstm5	VSTM5
Serinc2	SERINC2
Nbeal1	NBEAL1
Cdc37l1	CDC37L1
Scamp1	SCAMP1
Sel1l3	SEL1L3
Grk2	GRK2
Ambn	AMBN
Fam205c	FAM205C
Appl2	APPL2
Rbbp7	RBBP7
Cyp3a41a	CYP3A24
Cyp3a41a	ENSOARG00000018457
Cyp3a41a	ENSOARG00000018068
Cyp2c55	ENSOARG00000005252
Cyp2c55	ENSOARG00000004828
Ak3	AK3
Trim44	TRIM44
Cyp3a44	CYP3A24
Cyp3a44	ENSOARG00000018457
Cyp3a44	ENSOARG00000018068
Igsf3	
Clec4a2	CLEC4A
Tbc1d21	TBC1D21
Olfr978	ENSOARG00000015351
Olfr978	ENSOARG00000015377
Olfr978	ENSOARG00000015362
Cyp3a11	CYP3A24
Cyp3a11	ENSOARG00000018457
Cyp3a11	ENSOARG00000018068
Mmaa	MMAA
Ppp2r2c	PPP2R2C
Hmgb3	
Aff4	AFF4
Ostn	OSTN
Prima1	PRIMA1
Olfr979	ENSOARG00000015351
Olfr979	ENSOARG00000015377
Olfr979	ENSOARG00000015362
Olfr980	ENSOARG00000015351
Olfr980	ENSOARG00000015377
Olfr980	ENSOARG00000015362
Eif3c	ENSOARG00000002892
Nkx6-2	
Ccrl2	CCRL2
Inpp5a	INPP5A
Ccdc102a	CCDC102A
Ttc39a	TTC39A
Mrpl17	MRPL17
Txlng	TXLNG
Zdhhc9	ZDHHC9
Cyp3a25	CYP3A24
Cyp3a25	ENSOARG00000018457
Cyp3a25	ENSOARG00000018068
Fabp3	FABP3
Cspg4	CSPG4
Tbc1d20	TBC1D20
Zcchc17	ENSOARG00000001618
Zcchc17	ENSOARG00000017563
Dchs1	DCHS1
Cdc34b	CDC34
Slc25a12	SLC25A12
Pou4f3	POU4F3
Dclk2	DCLK2
Nyx	NYX
Pigz	PIGZ
Nsl1	NSL1
Enam	ENAM
Atp5d	ATP5D
Cyp3a59	CYP3A24
Cyp3a59	ENSOARG00000018457
Cyp3a59	ENSOARG00000018068
Olfr1434	ENSOARG00000013185
Olfr1434	ENSOARG00000013066
Pin4	PIN4
Rgs5	RGS5
Cyp2c65	ENSOARG00000005252
Cyp2c65	ENSOARG00000004828
Fgfr1	FGFR1
Chm	CHM
St8sia4	ST8SIA4
Olfr765	
Cbarp	ENSOARG00000011332
Lefty1	ENSOARG00000017723
Ears2	EARS2
Uts2b	UTS2B
0610012G03Rik	NCBP2-AS2
Tmem92	TMEM92
Olfr1436	ENSOARG00000013185
Olfr1436	ENSOARG00000013066
Arl2	ARL2
Tmem143	TMEM143
Ubfd1	UBFD1
Fam81a	FAM81A
Dbr1	DBR1
Nxpe4	NXPE4
Slc9a3	SLC9A3
Batf2	BATF2
Lrrfip2	LRRFIP2
Tmem211	ENSOARG00000018818
Ercc6l	ERCC6L
Nxpe2	NXPE2
Senp5	SENP5
Plcxd2	PLCXD2
Ppy	
Rsg1	RSG1
Olfr767	
Phldb2	PHLDB2
Faah	FAAH
Rps4x	RPS4X
Smad1	SMAD1
Stk11	STK11
Slain1	SLAIN1
Rtf1	RTF1
Batf3	BATF3
Smim9	SMIM9
Gm20509	ENSOARG00000010996
Ncbp2	ENSOARG00000006784
Hlf	HLF
Rsl24d1	RSL24D1
Itgae	ENSOARG00000017553
Abcb9	ABCB9
Gm6502	ENSOARG00000011511
Gm6502	ENSOARG00000011390
Gm6502	ENSOARG00000011178
Gm6502	ENSOARG00000011567
Gm6502	ENSOARG00000011153
Gm6502	ENSOARG00000011458
Gm6502	ENSOARG00000011487
Gm6502	ENSOARG00000003584
Gm6502	ENSOARG00000011209
Gm6502	ENSOARG00000011126
Gm6502	ENSOARG00000011338
Gm6502	ENSOARG00000011025
Gm6502	ENSOARG00000011576
Gm6502	ENSOARG00000003461
Gm6502	ENSOARG00000010975
Gm6502	ENSOARG00000011039
Gm6502	ENSOARG00000011419
Slamf7	SLAMF7
Tcerg1	TCERG1
Fjx1	ENSOARG00000010154
Olfr1437	ENSOARG00000013185
Olfr1437	ENSOARG00000013066
Snx5	SNX5
Khdc3	ENSOARG00000010996
Olfr981	OR10G6
Mfsd14b	ENSOARG00000015600
Calcb	ENSOARG00000025173
Hs6st2	ENSOARG00000009597
Phkg2	PHKG2
Was	WAS
Sdf2l1	SDF2L1
Ubqln3	UBQLN3
Olfr1438-ps1	
Ubqlnl	UBQLNL
Perm1	PERM1
A4gnt	A4GNT
Cd6	CD6
Tmem63a	TMEM63A
Sgsm1	SGSM1
Ydjc	YDJC
Jchain	JCHAIN
Mgme1	MGME1
Ccdc189	CCDC189
Plekhn1	KLHL17
Kif2c	KIF2C
Snx33	SNX33
Bhlhe40	BHLHE40
Cyp2c66	ENSOARG00000005252
Cyp2c66	ENSOARG00000004828
Ccdc116	CCDC116
AA792892	ENSOARG00000011511
AA792892	ENSOARG00000011390
AA792892	ENSOARG00000011178
AA792892	ENSOARG00000011567
AA792892	ENSOARG00000011153
AA792892	ENSOARG00000011458
AA792892	ENSOARG00000011487
AA792892	ENSOARG00000003584
AA792892	ENSOARG00000011209
AA792892	ENSOARG00000011126
AA792892	ENSOARG00000011338
AA792892	ENSOARG00000011025
AA792892	ENSOARG00000011576
AA792892	ENSOARG00000003461
AA792892	ENSOARG00000010975
AA792892	ENSOARG00000011039
AA792892	ENSOARG00000011419
Adgrg5	ADGRG5
Rnf6	RNF6
Fkbp8	FKBP8
Gm7682	ENSOARG00000011511
Gm7682	ENSOARG00000011390
Gm7682	ENSOARG00000011178
Gm7682	ENSOARG00000011567
Gm7682	ENSOARG00000011153
Gm7682	ENSOARG00000011458
Gm7682	ENSOARG00000011487
Gm7682	ENSOARG00000003584
Gm7682	ENSOARG00000011209
Gm7682	ENSOARG00000011126
Gm7682	ENSOARG00000011338
Gm7682	ENSOARG00000011025
Gm7682	ENSOARG00000011576
Gm7682	ENSOARG00000003461
Gm7682	ENSOARG00000010975
Gm7682	ENSOARG00000011039
Gm7682	ENSOARG00000011419
Ube2l3	UBE2L3
Bcl2l12	BCL2L12
Rgs4	RGS4
Myo1e	MYO1E
Cyp2c29	ENSOARG00000005252
Cyp2c29	ENSOARG00000004828
Fundc2	FUNDC2
Slc44a4	SLC44A4
F8	F8
Irf3	IRF3
Brd7	BRD7
Slco4c1	SLCO4C1
Utp3	UTP3
Fndc5	FNDC5
6030419C18Rik	C15orf59
Gpr50	GPR50
Snrnp40	SNRNP40
Cited1	CITED1
Haspin	HASPIN
Elmo2	ELMO2
Cdk8	CDK8
Pou4f1	
Imp3	
Wt1	WT1
Fam71a	
Iws1	IWS1
Pyy	PYY
Thop1	THOP1
Ccdc50	CCDC50
Terb1	TERB1
Kxd1	KXD1
Srgn	SRGN
Gm3139	ENSOARG00000011511
Gm3139	ENSOARG00000011390
Gm3139	ENSOARG00000011178
Gm3139	ENSOARG00000011567
Gm3139	ENSOARG00000011153
Gm3139	ENSOARG00000011458
Gm3139	ENSOARG00000011487
Gm3139	ENSOARG00000003584
Gm3139	ENSOARG00000011209
Gm3139	ENSOARG00000011126
Gm3139	ENSOARG00000011338
Gm3139	ENSOARG00000011025
Gm3139	ENSOARG00000011576
Gm3139	ENSOARG00000003461
Gm3139	ENSOARG00000010975
Gm3139	ENSOARG00000011039
Gm3139	ENSOARG00000011419
Gabra5	GABRA5
Snupn	SNUPN
Pdyn	PDYN
Adam28	ADAM28
Emp3	EMP3
Lsm5	LSM5
Insl6	INSL6
Gm3147	ENSOARG00000011511
Gm3147	ENSOARG00000011390
Gm3147	ENSOARG00000011178
Gm3147	ENSOARG00000011567
Gm3147	ENSOARG00000011153
Gm3147	ENSOARG00000011458
Gm3147	ENSOARG00000011487
Gm3147	ENSOARG00000003584
Gm3147	ENSOARG00000011209
Gm3147	ENSOARG00000011126
Gm3147	ENSOARG00000011338
Gm3147	ENSOARG00000011025
Gm3147	ENSOARG00000011576
Gm3147	ENSOARG00000003461
Gm3147	ENSOARG00000010975
Gm3147	ENSOARG00000011039
Gm3147	ENSOARG00000011419
Gm6509	ENSOARG00000011511
Gm6509	ENSOARG00000011390
Gm6509	ENSOARG00000011178
Gm6509	ENSOARG00000011567
Gm6509	ENSOARG00000011153
Gm6509	ENSOARG00000011458
Gm6509	ENSOARG00000011487
Gm6509	ENSOARG00000003584
Gm6509	ENSOARG00000011209
Gm6509	ENSOARG00000011126
Gm6509	ENSOARG00000011338
Gm6509	ENSOARG00000011025
Gm6509	ENSOARG00000011576
Gm6509	ENSOARG00000003461
Gm6509	ENSOARG00000010975
Gm6509	ENSOARG00000011039
Gm6509	ENSOARG00000011419
Gm6205	ENSOARG00000011511
Gm6205	ENSOARG00000011390
Gm6205	ENSOARG00000011178
Gm6205	ENSOARG00000011567
Gm6205	ENSOARG00000011153
Gm6205	ENSOARG00000011458
Gm6205	ENSOARG00000011487
Gm6205	ENSOARG00000003584
Gm6205	ENSOARG00000011209
Gm6205	ENSOARG00000011126
Gm6205	ENSOARG00000011338
Gm6205	ENSOARG00000011025
Gm6205	ENSOARG00000011576
Gm6205	ENSOARG00000003461
Gm6205	ENSOARG00000010975
Gm6205	ENSOARG00000011039
Gm6205	ENSOARG00000011419
Arhgef19	ARHGEF19
Gabrb3	GABRB3
Casc4	CASC4
Rtn1	RTN1
Mlh1	MLH1
Usp26	USP26
Ubl4b	
Map3k6	MAP3K6
Alx3	ALX3
Cd276	ENSOARG00000019030
Recql5	RECQL5
Pamr1	PAMR1
Slc27a2	SLC27A2
Zcchc7	ZCCHC7
Rbck1	RBCK1
Dmbt1	ENSOARG00000007979
Wasf3	WASF3
Smg1	SMG1
Wfs1	WFS1
Ccdc190	CCDC190
Phldb1	PHLDB1
Stk35	STK35
Cdx1	CDX1
Cdkal1	CDKAL1
Olfr648	OR52H1
Nkain1	NKAIN1
Olfr466	
Sap30bp	SAP30BP
Ddx42	DDX42
Olfr982	
Ccdc114	CCDC114
Dsg1c	DSG1
Rufy3	RUFY3
Epm2aip1	EPM2AIP1
Mettl18	METTL18
Myo15b	MYO15B
Oat	OAT
Cask	CASK
Olfr984	
Atf3	ATF3
Gm3183	ENSOARG00000011511
Gm3183	ENSOARG00000011390
Gm3183	ENSOARG00000011178
Gm3183	ENSOARG00000011567
Gm3183	ENSOARG00000011153
Gm3183	ENSOARG00000011458
Gm3183	ENSOARG00000011487
Gm3183	ENSOARG00000003584
Gm3183	ENSOARG00000011209
Gm3183	ENSOARG00000011126
Gm3183	ENSOARG00000011338
Gm3183	ENSOARG00000011025
Gm3183	ENSOARG00000011576
Gm3183	ENSOARG00000003461
Gm3183	ENSOARG00000010975
Gm3183	ENSOARG00000011039
Gm3183	ENSOARG00000011419
Washc2	ENSOARG00000002534
Fgfr2	FGFR2
Man2b1	ENSOARG00000012384
Hdac11	HDAC11
Stxbp4	STXBP4
Gpr12	GPR12
Exoc8	EXOC8
Ppp2r2b	PPP2R2B
Ftsj3	FTSJ3
Rbm26	RBM26
Trank1	TRANK1
Tmem261	DMAC1
Rplp1	RPLP1
Fam181a	FAM181A
Nufip2	NUFIP2
Avl9	AVL9
Hif1an	HIF1AN
Smim6	SMIM6
Eif1	EIF1
Tmc6	TMC6
Smim5	SMIM5
Phf24	PHF24
Fam111a	
Cryba1	CRYBA1
Vma21	VMA21
Tgm3	TGM3
Ech1	ECH1
Olfr985	OR8D4
1700080O16Rik	ENSOARG00000009314
Olfr986	
Med17	ENSOARG00000002077
Gm6367	ENSOARG00000011511
Gm6367	ENSOARG00000011390
Gm6367	ENSOARG00000011178
Gm6367	ENSOARG00000011567
Gm6367	ENSOARG00000011153
Gm6367	ENSOARG00000011458
Gm6367	ENSOARG00000011487
Gm6367	ENSOARG00000003584
Gm6367	ENSOARG00000011209
Gm6367	ENSOARG00000011126
Gm6367	ENSOARG00000011338
Gm6367	ENSOARG00000011025
Gm6367	ENSOARG00000011576
Gm6367	ENSOARG00000003461
Gm6367	ENSOARG00000010975
Gm6367	ENSOARG00000011039
Gm6367	ENSOARG00000011419
Insc	INSC
Ndufab1	NDUFAB1
Cfap46	CFAP46
Pax2	PAX2
Kif1bp	KIF1BP
Fam60a	FAM60A
Clec4b2	CLEC4A
Rln1	
Cmc4	CMC4
Nub1	NUB1
Dsg1a	DSG1
Mtcp1	MTCP1
Apobr	APOBR
Ptpn9	PTPN9
Ccdc93	CCDC93
Il27	IL27
Gm16513	ENSOARG00000011511
Gm16513	ENSOARG00000011390
Gm16513	ENSOARG00000011178
Gm16513	ENSOARG00000011567
Gm16513	ENSOARG00000011153
Gm16513	ENSOARG00000011458
Gm16513	ENSOARG00000011487
Gm16513	ENSOARG00000003584
Gm16513	ENSOARG00000011209
Gm16513	ENSOARG00000011126
Gm16513	ENSOARG00000011338
Gm16513	ENSOARG00000011025
Gm16513	ENSOARG00000011576
Gm16513	ENSOARG00000003461
Gm16513	ENSOARG00000010975
Gm16513	ENSOARG00000011039
Gm16513	ENSOARG00000011419
Smchd1	SMCHD1
Itpka	ENSOARG00000002822
Itpka	ENSOARG00000002823
Strip1	STRIP1
Cln3	ENSOARG00000002994
Tmc8	TMC8
Gm10424	ENSOARG00000011511
Gm10424	ENSOARG00000011390
Gm10424	ENSOARG00000011178
Gm10424	ENSOARG00000011567
Gm10424	ENSOARG00000011153
Gm10424	ENSOARG00000011458
Gm10424	ENSOARG00000011487
Gm10424	ENSOARG00000003584
Gm10424	ENSOARG00000011209
Gm10424	ENSOARG00000011126
Gm10424	ENSOARG00000011338
Gm10424	ENSOARG00000011025
Gm10424	ENSOARG00000011576
Gm10424	ENSOARG00000003461
Gm10424	ENSOARG00000010975
Gm10424	ENSOARG00000011039
Gm10424	ENSOARG00000011419
Kbtbd2	KBTBD2
Sele	SELE
Utp14a	ENSOARG00000015129
Utp14a	ENSOARG00000012140
Rnf40	RNF40
Leap2	LEAP2
S100pbp	S100PBP
Gpr82	GPR82
Gpr34	GPR34
Hdac8	HDAC8
Stat5a	STAT5A
Fkbp9	FKBP9
Uqcrq	UQCRQ
Gast	GAST
Nlrp4f	
Lgals4	LGALS4
Ccnb2	CCNB2
Treh	TREH
Col1a1	COL1A1
Sprtn	SPRTN
Hap1	
Atp1a1	ATP1A1
Kif23	KIF23
Alpl	ALPL
Exoc3	EXOC3
Dach2	ENSOARG00000006247
Dach2	ENSOARG00000002707
Arl8b	ARL8B
Slc35g3	ENSOARG00000013749
Neu1	NEU1
Gtf2e1	GTF2E1
Asb2	ASB2
Stat3	STAT3
Plgrkt	PLGRKT
Dsg1b	DSG1
Cyp20a1	CYP20A1
Creb3l3	CREB3L3
Tomt	TOMT
Nfatc3	NFATC3
Arfgap1	ARFGAP1
Hrasls	HRASLS
Fam24a	ENSOARG00000014921
Cd1d2	CD1D
Ighv7-1	
Folr1	ENSOARG00000004214
Folr1	ENSOARG00000004127
Zbtb4	ZBTB4
Hsd17b7	HSD17B7
Egln1	EGLN1
Ahrr	AHRR
Ccdc103	ENSOARG00000009271
Nags	NAGS
Nt5c3	NT5C3A
Tsnax	ENSOARG00000003276
2310057M21Rik	ENSOARG00000008928
2310057M21Rik	ENSOARG00000008829
Esrp2	ESRP2
Olfr650-ps1	
Cyp2c38	ENSOARG00000005252
Cyp2c38	ENSOARG00000004828
Ltk	LTK
B3gnt3	B3GNT3
Dync1h1	DYNC1H1
Mroh2a	ENSOARG00000019204
Bub3	ENSOARG00000009467
Bub3	ENSOARG00000015758
Dgkq	DGKQ
Ighv7-2	
Trim6	
Nenf	NENF
Unc13c	UNC13C
Pdgfrb	PDGFRB
Hjurp	HJURP
Tgm6	TGM6
Rabl3	RABL3
Mfsd14a	ENSOARG00000017862
Apof	APOF
Nsmce4a	NSMCE4A
Lrrc9	LRRC9
Trib3	TRIB3
Lamtor1	LAMTOR1
Rimbp3	
Gm3259	ENSOARG00000011511
Gm3259	ENSOARG00000011390
Gm3259	ENSOARG00000011178
Gm3259	ENSOARG00000011567
Gm3259	ENSOARG00000011153
Gm3259	ENSOARG00000011458
Gm3259	ENSOARG00000011487
Gm3259	ENSOARG00000003584
Gm3259	ENSOARG00000011209
Gm3259	ENSOARG00000011126
Gm3259	ENSOARG00000011338
Gm3259	ENSOARG00000011025
Gm3259	ENSOARG00000011576
Gm3259	ENSOARG00000003461
Gm3259	ENSOARG00000010975
Gm3259	ENSOARG00000011039
Gm3259	ENSOARG00000011419
Slc35a3	SLC35A3
Anapc15	ENSOARG00000016660
Anapc15	ENSOARG00000004004
Ddr2	DDR2
Slc38a11	SLC38A11
Lhpp	LHPP
Lipi	LIPI
Adgrg1	ADGRG1
Disc1	DISC1
Cyp2c39	ENSOARG00000005252
Cyp2c39	ENSOARG00000004828
Naa35	NAA35
Hic2	ENSOARG00000016014
Psmc5	PSMC5
1700007K09Rik	ENSOARG00000014921
Slc26a1	
Ate1	ATE1
Hdc	HDC
Tmem175	ENSOARG00000010891
Edem1	EDEM1
Hat1	HAT1
Wdr13	WDR13
Tapt1	TAPT1
Epha2	EPHA2
Sema4g	SEMA4G
Gdf9	GDF9
Cd1d1	CD1D
1500009L16Rik	
Idua	IDUA
Nrsn2	NRSN2
Ighv3-1	ENSOARG00000001917
Ighv3-1	ENSOARG00000002109
Grhpr	GRHPR
Nsun4	NSUN4
D5Ertd577e	ENSOARG00000011511
D5Ertd577e	ENSOARG00000011390
D5Ertd577e	ENSOARG00000011178
D5Ertd577e	ENSOARG00000011567
D5Ertd577e	ENSOARG00000011153
D5Ertd577e	ENSOARG00000011458
D5Ertd577e	ENSOARG00000011487
D5Ertd577e	ENSOARG00000003584
D5Ertd577e	ENSOARG00000011209
D5Ertd577e	ENSOARG00000011126
D5Ertd577e	ENSOARG00000011338
D5Ertd577e	ENSOARG00000011025
D5Ertd577e	ENSOARG00000011576
D5Ertd577e	ENSOARG00000003461
D5Ertd577e	ENSOARG00000010975
D5Ertd577e	ENSOARG00000011039
D5Ertd577e	ENSOARG00000011419
Pum1	PUM1
Sox12	
Dzip1l	DZIP1L
Shroom1	SHROOM1
Rbm11	RBM11
Ddx18	DDX18
Rexo2	REXO2
Rnf11	RNF11
Fam131c	FAM131C
Trim34a	
Golm1	GOLM1
Zcchc3	ZCCHC3
Sytl1	SYTL1
Zfp202	ZNF202
Ighv14-2	
Zfp791	
Ddx21	DDX21
Ctdspl2	CTDSPL2
Klhl4	KLHL4
Abcc6	ABCC6
Dsg4	DSG4
Rnf111	RNF111
Stat2	STAT2
Ctnnal1	CTNNAL1
Ikzf5	IKZF5
Lgals7	ENSOARG00000005822
Lgals7	ENSOARG00000005829
Slc15a3	SLC15A3
Slc1a2	SLC1A2
Fbln2	ENSOARG00000001554
Gpc4	GPC4
Tmem132a	TMEM132A
Snrpb	SNRPB
Tacc2	TACC2
Ercc3	ERCC3
Wscd2	WSCD2
Cks1brt	
Ahcyl1	AHCYL1
6820408C15Rik	C20orf96
P2rx5	ENSOARG00000017481
Ovol2	OVOL2
Brcc3	BRCC3
Atp13a5	ATP13A5
Kdm2a	KDM2A
E2f3	E2F3
Mageb3	ENSOARG00000019025
Mageb3	ENSOARG00000017612
Mageb3	ENSOARG00000010510
Mageb3	ENSOARG00000001205
Mageb3	ENSOARG00000001197
Syap1	SYAP1
Gpc3	GPC3
Sipa1l2	SIPA1L2
Slco6c1	SLCO6A1
Tmem206	TMEM206
Ece1	ECE1
Samd11	SAMD11
Pak2	PAK2
Vmn1r4	
Ppp2r5a	PPP2R5A
Mab21l3	MAB21L3
Kirrel	KIRREL1
Gm3286	ENSOARG00000011511
Gm3286	ENSOARG00000011390
Gm3286	ENSOARG00000011178
Gm3286	ENSOARG00000011567
Gm3286	ENSOARG00000011153
Gm3286	ENSOARG00000011458
Gm3286	ENSOARG00000011487
Gm3286	ENSOARG00000003584
Gm3286	ENSOARG00000011209
Gm3286	ENSOARG00000011126
Gm3286	ENSOARG00000011338
Gm3286	ENSOARG00000011025
Gm3286	ENSOARG00000011576
Gm3286	ENSOARG00000003461
Gm3286	ENSOARG00000010975
Gm3286	ENSOARG00000011039
Gm3286	ENSOARG00000011419
Pdcd6	ENSOARG00000015678
Pdcd6	ENSOARG00000020223
Gm7971	ENSOARG00000011511
Gm7971	ENSOARG00000011390
Gm7971	ENSOARG00000011178
Gm7971	ENSOARG00000011567
Gm7971	ENSOARG00000011153
Gm7971	ENSOARG00000011458
Gm7971	ENSOARG00000011487
Gm7971	ENSOARG00000003584
Gm7971	ENSOARG00000011209
Gm7971	ENSOARG00000011126
Gm7971	ENSOARG00000011338
Gm7971	ENSOARG00000011025
Gm7971	ENSOARG00000011576
Gm7971	ENSOARG00000003461
Gm7971	ENSOARG00000010975
Gm7971	ENSOARG00000011039
Gm7971	ENSOARG00000011419
Scn3a	SCN3A
Wdr72	WDR72
Tmem101	TMEM101
Ephx1	EPHX1
Dnajb5	DNAJB5
Zfp629	ZNF629
Prrg3	PRRG3
Ogfod2	OGFOD2
Adgra1	ADGRA1
Abi2	ABI2
Clcnka	ENSOARG00000012478
Cbl	CBL
Dpysl3	DPYSL3
Dlx1	DLX1
Hmx3	
Vprbp	DCAF1
Hspa13	HSPA13
Stc1	STC1
4930544D05Rik	C17orf107
Pet117	PET117
Nkd1	NKD1
Kat14	KAT14
Vps35	VPS35
Metap1d	METAP1D
Chrne	CHRNE
Chrnb1	CHRNB1
Smarcd2	SMARCD2
Jakmip1	
Jakmip1	JAKMIP1
Cpxm2	CPXM2
Slc22a15	SLC22A15
Cmklr1	CMKLR1
Cldn18	CLDN18
